X;Y;id_local;reseau_loc;nom_loc;id_osm;num_iti;code_com_d;ame_d;regime_d;sens_d;largeur_d;local_d;statut_d;revet_d;code_com_g;ame_g;regime_g;sens_g;largeur_g;local_g;statut_g;revet_g;access_ame;date_maj;trafic_vit;lumiere;d_service;comm;source;project_c;ref_geo
5.74372137303669;45.1866611416089;;;;way/260659003;;"38185";VOIE VERTE;;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2022-08-31;;true;;;OpenStreetMap;WGS84;Bing
5.74406015;45.1866116504583;D 523;;;way/10711429;;"38185";AUTRE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;EN AGGLOMERATION;;;;EN SERVICE;LISSE;;2024-12-09;"50";true;;;OpenStreetMap;WGS84;
5.74422836556126;45.1865841618194;;;;way/28409446;;"38185";AUTRE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;ZONE 30;;;;EN SERVICE;LISSE;ROLLER;2025-01-08;"30";true;;;OpenStreetMap;WGS84;
5.74264085185939;45.1884200213798;;;;way/244086433;;"38185";VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;RUGUEUX;"38185";AUCUN;;;;;EN SERVICE;RUGUEUX;;2024-04-02;;true;;;OpenStreetMap;WGS84;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009"
5.74367460365309;45.1887195311814;;;;way/286867715;;"38185";VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;RUGUEUX;"38185";AUCUN;;;;;EN SERVICE;RUGUEUX;;2021-12-27;;true;;;OpenStreetMap;WGS84;
5.7426244;45.1894065004608;;;;way/244086423;;"38185";VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;MEUBLE;"38185";AUCUN;;;;;EN SERVICE;MEUBLE;VELO DE ROUTE;2024-12-10;;true;;;OpenStreetMap;WGS84;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009"
5.70890565;45.1822350518469;;;;way/383310735;;"38185";AUTRE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";DOUBLE SENS CYCLABLE NON MATERIALISE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2022-10-21;"30";true;;;OpenStreetMap;WGS84;
5.70809415;45.1802496004505;;;;way/818377602;;"38185";PISTE CYCLABLE;;UNIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2022-10-21;;true;;;OpenStreetMap;WGS84;
5.70827142044028;45.1801701004889;;;;way/238579436;;"38185";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2022-04-22;;true;;;OpenStreetMap;WGS84;
5.70827132601059;45.1800939504773;;;;way/985264633;;"38185";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2022-04-22;;true;;;OpenStreetMap;WGS84;
5.70813540072119;45.1799311149086;;;;way/72135659;;"38185";VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2022-10-21;;true;;;OpenStreetMap;WGS84;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009"
5.70830405078005;45.1799327589472;;;;way/818377599;;"38185";VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2022-10-21;;true;;;OpenStreetMap;WGS84;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009"
